,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,132068,https://www.airbnb.com/rooms/132068,20240900000000.0,30/09/2024,city scrape,Great attic+terrace+parking. Beach views. ESS00578,"Amazing  modern, clean & fully equiped flat of 2 bedrooms with a big sunny terrace overlooking the Zurriola beach in the fashion area of Gros. Listen the ocean and chill on the terrace. WI-FI & PARKING for a car included in the price.<br />The apartment fullfils all legal obligation and its official inscription numer is ESS00578.",Gros is Donosti's trendy neighborhood. The apartment is located in the heart of this area of the city which at the same time is vibrant and quiet.,https://a0.muscache.com/pictures/22b9f457-1f65-4bdf-bd38-43496ec79f16.jpg,648938,https://www.airbnb.com/users/show/648938,Mikel,31/05/2011,"San Sebastian, Spain","Nací y crecí en San Sebastian. Al igual que vosotros, disfruto viajando. Conozco perfectamente tanto San Sebastian como todo su entorno por lo que trataré con todo mi empeño en que vuestra estancia en Donostia devenga en la mejor de vuestras experiencias.

I was born and raised in San Sebastian.  I know quiet well the city as all  areas around so I will do my best to become your time in San Sebastian into your best experience.   ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/648938/profile_pic/1398864067/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/648938/profile_pic/1398864067/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"San Sebastián, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.32475,-1.97335,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Free parking on premises"", ""Luggage dropoff allowed"", ""Smoking allowed"", ""Coffee maker"", ""Hair dryer"", ""Washer"", ""Iron"", ""Kitchen"", ""Pets allowed"", ""First aid kit"", ""Refrigerator"", ""Crib"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Essentials"", ""Host greets you"", ""Microwave"", ""Long term stays allowed"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""Patio or balcony"", ""Oven"", ""Children\u2019s books and toys"", ""Hot water"", ""Elevator"", ""TV"", ""Cooking basics""]",$191.00,2,63,1,2,63,63,2.0,63.0,,t,6,25,44,283,30/09/2024,750,65,7,04/06/2011,27/09/2024,4.89,4.91,4.77,4.97,4.97,4.94,4.75,,t,1,1,0,0,4.62
1,142760,https://www.airbnb.com/rooms/142760,20240900000000.0,29/09/2024,city scrape,Piso en la playa cerca de Gaztelugatxe,Beach front apartment close to San Juan de Gaztelugatxe,,https://a0.muscache.com/pictures/71900ac6-da9b-4fc5-bf45-e1e760a556b3.jpg,693119,https://www.airbnb.com/users/show/693119,Maitane,12/06/2011,"Madrid, Spain","World wanderer, in love with photography and cooking.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/4db6c814-2bac-40f4-9976-2f06dea3eed7.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4db6c814-2bac-40f4-9976-2f06dea3eed7.jpg?aki_policy=profile_x_medium,La Latina,2,4,"['email', 'phone']",t,t,,Sukarrieta,Vizcaya,43.39243,-2.69474,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,3.0,"[""Dryer"", ""Dedicated workspace"", ""Coffee maker"", ""Outdoor furniture"", ""Hair dryer"", ""Iron"", ""Mountain view"", ""Garden view"", ""Kitchen"", ""43 inch HDTV with standard cable"", ""Free washer \u2013 In unit"", ""Refrigerator"", ""Free street parking"", ""Dishwasher"", ""Beach access \u2013 Beachfront"", ""Shampoo"", ""Hangers"", ""Essentials"", ""Ocean view"", ""Microwave"", ""Long term stays allowed"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""Private patio or balcony"", ""Sea view"", ""Oven"", ""Beach view"", ""Hot water"", ""AC - split type ductless system"", ""Elevator"", ""Cooking basics""]",$160.00,2,730,2,2,1125,1125,2.0,1125.0,,t,30,60,90,365,29/09/2024,80,13,0,17/08/2011,24/08/2024,4.84,4.84,4.91,4.51,4.63,4.7,4.7,,t,1,1,0,0,0.5
2,309802,https://www.airbnb.com/rooms/309802,20240900000000.0,30/09/2024,city scrape,Luxury w/terrace near the beach Wif,"The apartment is located in the mezzanine of a building in the neighbourhood of Antiguo.<br /><br />It has 2 bedrooms, 2 bathrooms, a kitchen and a spacious living-dining room. It also has a 30 m2 terrace.<br /><br />Well mannered pets are welcomed.","In this neighborhood with a strong personality, which originally emerged as an industrial and working-class neighborhood, a great change has taken place in recent years. <br />The various common facilities - Sports Centers, the Market, the House of Culture - contribute to greater mobility in the neighborhood.<br /><br />It is located to west of La Concha Bay, it is bordered to the north by Igeldo, to the southwest by Ibaeta and to the southeast by Aiete.<br /><br />The houses of Ondarreta and BentaBerri, in addition to increasing their population, have had a qualitative influence on the life of the neighborhood.",https://a0.muscache.com/pictures/50730314/9cfb840c_original.jpg,1589633,https://www.airbnb.com/users/show/1589633,Emy,10/01/2012,"San Sebastian, Spain","My name is Emy and I am the owner of these apartments. I was born and raised in San Sebastian and I love to help my guests enjoy this wonderful city and all it has to offer so that they leave happy and impressed by the beauty and the quality of life (not to mention the food, of course!) of San Sebastian.
I am very well travelled and still love to travel, so I know exactly what people need to know about a foreign city to fully enjoy their stay. 
I rented my first apartment in 2007 and since then I keep adding new apartments after fully refurbishing them to offer my guests nice environments.
I am a very active, friendly and happy person, and apart from traveling and meeting people from all over the world, there are a lot of things I love like good food, good wines, ecological gardening, cats, Mac and photography mainly.
If you decide to come to one of my apartments, be sure I will make sure you have the very best stay in San Sebastian. ",within an hour,100%,90%,f,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_x_medium,,8,10,"['email', 'phone']",t,t,"San Sebastian, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.3158,-2.00598,Entire rental unit,Entire home/apt,6,2.0,2 baths,2.0,4.0,"[""Paid parking on premises"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Washer"", ""Iron"", ""Kitchen"", ""Pets allowed"", ""First aid kit"", ""Refrigerator"", ""Dishwasher"", ""Waterfront"", ""Crib"", ""Fire extinguisher"", ""Wifi"", ""Essentials"", ""Host greets you"", ""Microwave"", ""Backyard"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""Bed linens"", ""Patio or balcony"", ""Oven"", ""Hot water"", ""Elevator"", ""TV"", ""Cooking basics""]",$209.00,7,365,3,7,365,365,6.0,365.0,,t,9,36,62,62,30/09/2024,16,2,0,06/05/2014,11/06/2024,4.13,4.44,4.13,4.67,4.44,5.0,4.2,ESS00368,t,7,6,1,0,0.13
3,309812,https://www.airbnb.com/rooms/309812,20240900000000.0,30/09/2024,city scrape,Impresionante vivienda céntrica con vistas al mar,,"The apartment is located in the Romantic Area of San Sebastian, in the center of the city, very close to the beach of La Concha.<br />This elegant neighborhood is filled with beautiful buildings that also boast shops, bars, and restaurants.<br />From here you can walk to any point you want to visit: La Concha beach is less than 300 meters away and the old part of Donostiarra (known for its Pintxos) is just a ten-minute walk away, as is the bus or train station.",https://a0.muscache.com/pictures/50826406/0c151fa9_original.jpg,1589633,https://www.airbnb.com/users/show/1589633,Emy,10/01/2012,"San Sebastian, Spain","My name is Emy and I am the owner of these apartments. I was born and raised in San Sebastian and I love to help my guests enjoy this wonderful city and all it has to offer so that they leave happy and impressed by the beauty and the quality of life (not to mention the food, of course!) of San Sebastian.
I am very well travelled and still love to travel, so I know exactly what people need to know about a foreign city to fully enjoy their stay. 
I rented my first apartment in 2007 and since then I keep adding new apartments after fully refurbishing them to offer my guests nice environments.
I am a very active, friendly and happy person, and apart from traveling and meeting people from all over the world, there are a lot of things I love like good food, good wines, ecological gardening, cats, Mac and photography mainly.
If you decide to come to one of my apartments, be sure I will make sure you have the very best stay in San Sebastian. ",within an hour,100%,90%,f,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_x_medium,,8,10,"['email', 'phone']",t,t,"San Sebastian, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.31663,-1.98616,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,5.0,"[""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Washer"", ""Iron"", ""Kitchen"", ""Pets allowed"", ""First aid kit"", ""Refrigerator"", ""Dishwasher"", ""Waterfront"", ""Crib"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Essentials"", ""Microwave"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""High chair"", ""Bed linens"", ""Patio or balcony"", ""Oven"", ""Hot water"", ""Elevator"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Cooking basics""]",$261.00,31,280,31,31,280,280,31.0,280.0,,t,29,56,86,86,30/09/2024,13,3,0,02/10/2012,22/08/2024,4.77,4.75,4.83,4.83,4.92,4.92,4.58,,t,7,6,1,0,0.09
4,309813,https://www.airbnb.com/rooms/309813,20240900000000.0,30/09/2024,city scrape,Near the beach with terrace Wifi,,"The apartment is located in the area known as the Romantic Area of San Sebastián, within the “Centro” district, Centro, between La Concha Beach and the Urumea river<br /><br />This elegant neighborhood is full of beautiful buildings where shops, bars and restaurants also abound.<br /><br />From here, you can easily reach on foot any point you want to visit: La Concha Beach is less than 50 meters away and the Old Town (known for its “Pintxos”) is 10 minutes walk away, same as the bus or train station.",https://a0.muscache.com/pictures/prohost-api/Hosting-309813/original/824bde37-bcaa-4c9e-9b6b-32101ce3070e.jpeg,1589633,https://www.airbnb.com/users/show/1589633,Emy,10/01/2012,"San Sebastian, Spain","My name is Emy and I am the owner of these apartments. I was born and raised in San Sebastian and I love to help my guests enjoy this wonderful city and all it has to offer so that they leave happy and impressed by the beauty and the quality of life (not to mention the food, of course!) of San Sebastian.
I am very well travelled and still love to travel, so I know exactly what people need to know about a foreign city to fully enjoy their stay. 
I rented my first apartment in 2007 and since then I keep adding new apartments after fully refurbishing them to offer my guests nice environments.
I am a very active, friendly and happy person, and apart from traveling and meeting people from all over the world, there are a lot of things I love like good food, good wines, ecological gardening, cats, Mac and photography mainly.
If you decide to come to one of my apartments, be sure I will make sure you have the very best stay in San Sebastian. ",within an hour,100%,90%,f,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_x_medium,,8,10,"['email', 'phone']",t,t,"San Sebastian, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.31681,-1.98611,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,5.0,"[""Luggage dropoff allowed"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Washer"", ""Iron"", ""Kitchen"", ""Pets allowed"", ""Refrigerator"", ""Dishwasher"", ""Waterfront"", ""Crib"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Essentials"", ""Single level home"", ""Host greets you"", ""Microwave"", ""Air conditioning"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""High chair"", ""Bed linens"", ""Patio or balcony"", ""Oven"", ""Hot water"", ""32 inch TV"", ""Elevator"", ""Pack \u2019n play/Travel crib"", ""Cooking basics""]",$261.00,31,124,31,31,124,124,31.0,124.0,,t,20,50,80,80,30/09/2024,17,4,0,15/03/2012,24/08/2024,4.69,4.71,4.82,4.75,4.71,4.81,4.75,,f,7,6,1,0,0.11
5,309828,https://www.airbnb.com/rooms/309828,20240900000000.0,30/09/2024,city scrape,Impresionante vivienda céntrica con vistas al mar,"Belle View is an elegant apartament located on the fifth floor of an historic building in the centre of San Sebastian, close to the La Concha beach. There is a lift in the building.<br /><br />It is a spacious and bright flat, in which functionality and design are perfectly integrated. The flat also has a fantastic terrace.<br /><br />The apartment has wood flooring and the bathrooms beautiful design tiles. It is decorated with original paintings that give the apartment a special touch.<br /> <br /><br />Well mannered pets are...","The apartment is located in the area known as the Romantic Area of San Sebastián, within the “Centro” district, Centro, between La Concha Beach and the Urumea river<br /><br />This elegant neighborhood is full of beautiful buildings where shops, bars and restaurants also abound.<br /><br />From here, you can easily reach on foot any point you want to visit: La Concha Beach is less than 50 meters away and the Old Town (known for its “Pintxos”) is 10 minutes walk away, same as the bus or train station.",https://a0.muscache.com/pictures/47130848/bded364f_original.jpg,1589633,https://www.airbnb.com/users/show/1589633,Emy,10/01/2012,"San Sebastian, Spain","My name is Emy and I am the owner of these apartments. I was born and raised in San Sebastian and I love to help my guests enjoy this wonderful city and all it has to offer so that they leave happy and impressed by the beauty and the quality of life (not to mention the food, of course!) of San Sebastian.
I am very well travelled and still love to travel, so I know exactly what people need to know about a foreign city to fully enjoy their stay. 
I rented my first apartment in 2007 and since then I keep adding new apartments after fully refurbishing them to offer my guests nice environments.
I am a very active, friendly and happy person, and apart from traveling and meeting people from all over the world, there are a lot of things I love like good food, good wines, ecological gardening, cats, Mac and photography mainly.
If you decide to come to one of my apartments, be sure I will make sure you have the very best stay in San Sebastian. ",within an hour,100%,90%,f,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_x_medium,,8,10,"['email', 'phone']",t,t,"San Sebastian, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.31471,-1.98588,Entire rental unit,Entire home/apt,8,2.0,2 baths,3.0,3.0,"[""Luggage dropoff allowed"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Washer"", ""Iron"", ""Kitchen"", ""Pets allowed"", ""First aid kit"", ""Refrigerator"", ""Dishwasher"", ""Waterfront"", ""Crib"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Essentials"", ""Host greets you"", ""Microwave"", ""Long term stays allowed"", ""Paid parking off premises"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""High chair"", ""Bed linens"", ""Patio or balcony"", ""Oven"", ""Hot water"", ""Elevator"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Cooking basics""]",$261.00,31,365,31,31,365,365,31.0,365.0,,t,20,49,79,90,30/09/2024,34,2,0,04/01/2014,20/06/2024,4.97,4.97,4.91,4.94,4.94,4.97,4.88,_,t,7,6,1,0,0.26
6,309830,https://www.airbnb.com/rooms/309830,20240900000000.0,30/09/2024,city scrape,Gorgeus modern design Wifi Beach,"Centre Ville is an apartament located on the third floor of an elegant building in the centre of San Sebastian.<br /><br />Once you enter the doorway, you will find nine comfortable stairs, there is a stair chair lift if needed, and from here you access the elevator directly to the third floor where the apartment is.<br /><br />The apartment is a spacious, one floor space, with no slopes, obstacles, where design and functionality are perfectly integrated.<br /><br />The apartment has wood flooring and the bathrooms have b...","The apartment is located in the area known as the Romantic Area of San Sebastián, within the “Centro” district,  between La Concha Beach and the Urumea river.<br /><br />This elegant neighborhood is full of beautiful buildings where shops, bars and restaurants also abound.<br /><br />From here, you can easily reach on foot any point you want to visit: La Concha Beach is less than 50 meters away and the Old Town (known for its “Pintxos”) is a 10 minute walk away, same as the bus or train station.",https://a0.muscache.com/pictures/prohost-api/Hosting-309830/original/fbfe7c5e-558b-4f46-bb29-5aca94d8543d.jpeg,1589633,https://www.airbnb.com/users/show/1589633,Emy,10/01/2012,"San Sebastian, Spain","My name is Emy and I am the owner of these apartments. I was born and raised in San Sebastian and I love to help my guests enjoy this wonderful city and all it has to offer so that they leave happy and impressed by the beauty and the quality of life (not to mention the food, of course!) of San Sebastian.
I am very well travelled and still love to travel, so I know exactly what people need to know about a foreign city to fully enjoy their stay. 
I rented my first apartment in 2007 and since then I keep adding new apartments after fully refurbishing them to offer my guests nice environments.
I am a very active, friendly and happy person, and apart from traveling and meeting people from all over the world, there are a lot of things I love like good food, good wines, ecological gardening, cats, Mac and photography mainly.
If you decide to come to one of my apartments, be sure I will make sure you have the very best stay in San Sebastian. ",within an hour,100%,90%,f,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1589633/profile_pic/1355334556/original.jpg?aki_policy=profile_x_medium,,8,10,"['email', 'phone']",t,t,"San Sebastian, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.31679,-1.98794,Private room in rental unit,Private room,8,2.0,2 baths,1.0,2.0,"[""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Iron"", ""Kitchen"", ""Pets allowed"", ""Free washer \u2013 In unit"", ""First aid kit"", ""Refrigerator"", ""Dishwasher"", ""Waterfront"", ""Beach access \u2013 Beachfront"", ""Crib"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Essentials"", ""Host greets you"", ""Microwave"", ""Paid parking off premises"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""High chair"", ""Bed linens"", ""Clothing storage: closet"", ""Hot water"", ""Elevator"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Cooking basics""]",$361.00,7,124,7,7,124,124,7.0,124.0,,t,14,44,74,74,30/09/2024,103,19,0,16/04/2013,10/08/2024,4.72,4.81,4.69,4.93,4.83,4.85,4.58,,t,7,6,1,0,0.74
10,386301,https://www.airbnb.com/rooms/386301,20240900000000.0,30/09/2024,city scrape,Xuloss Apartments 1,"Xuloss Apartments 1 in the quarter of Gros with ""pintxo"" bar´s and restaurants nearby as well all kind of shops. Just 200 metres to Zurriola surfing and modern beach with all the services. 15 minutes beautiful walk to the Old Part of the city. You will like it!",Middle class families,https://a0.muscache.com/pictures/prohost-api/Hosting-386301/original/5a3e3cca-3f40-4e0a-b4ca-2364df4e5db6.png,1933529,https://www.airbnb.com/users/show/1933529,Ainhoa,16/03/2012,"San Sebastián, Spain","Hola, soy de Donosti y trabajo como funcionaria en la administración . Será un placer recibirte y ayudarte a descubrir y disfrutar de nuestra preciosa ciudad...",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/832d56fe-b392-48bb-bf41-9fc51e225ff0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/832d56fe-b392-48bb-bf41-9fc51e225ff0.jpg?aki_policy=profile_x_medium,,3,6,"['email', 'phone']",t,t,"San Sebastian, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.32533,-1.97173,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,3.0,"[""Toaster"", ""Luggage dropoff allowed"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Coffee"", ""Iron"", ""Kitchen"", ""Freezer"", ""Free washer \u2013 In unit"", ""First aid kit"", ""Refrigerator"", ""Paid parking lot off premises"", ""32 inch HDTV"", ""Dishwasher"", ""Body soap"", ""Fire extinguisher"", ""Shampoo"", ""Hangers"", ""Laundromat nearby"", ""Wifi"", ""Essentials"", ""Drying rack for clothing"", ""Host greets you"", ""Portable fans"", ""Blender"", ""Microwave"", ""Dishes and silverware"", ""Hot water kettle"", ""Heating"", ""Stove"", ""Private patio or balcony"", ""Shower gel"", ""Room-darkening shades"", ""Bed linens"", ""Clothing storage: closet"", ""Children\u2019s books and toys"", ""City skyline view"", ""Hot water"", ""Paid parking garage on premises"", ""Elevator"", ""Cleaning available during stay"", ""Pack \u2019n play/Travel crib"", ""Cooking basics""]",$197.00,2,365,1,4,365,365,1.6,365.0,,t,28,56,86,92,30/09/2024,288,3,1,24/06/2013,21/09/2024,4.78,4.82,4.74,4.93,4.95,4.86,4.66,RGV SS00304,t,3,3,0,0,2.1
11,393715,https://www.airbnb.com/rooms/393715,20240900000000.0,29/09/2024,city scrape,Apartamento en Costa Vasca,It is a coquettish small apartment  with terrace and garden on the street located in the center of this picturesque fishing village between San Sebastian and Bilbao a little more than half an hour away and being part of the Geologic Park of  the Flysch,"This apartment is located in the main square of the town next to the town hall and the neoclassical church.In the same square there are also two restaurants ,a self-service shop with press and bakery that also opens on Sundays and there is also the information and tourism office",https://a0.muscache.com/pictures/airflow/Hosting-393715/original/d8d1badb-8a2b-49f5-a4cb-71827096b64d.jpg,1968496,https://www.airbnb.com/users/show/1968496,Concha,19/03/2012,"Mutriku, Spain","Me gustan mucho relacionarme con la gente ,siempre se aprende mucho.También viajar y conocer como viven y que costumbres tienen otra gente ,conocer su gastronomia por eso cuando viajo incluyo siempre los mercados,zocos etc.
El senderismo es otra cosa que me gusta y si son sendas costeras mucho mejor.Mi proximo viaje creo será Sicilia.Bueno a Sicilia no fui de momento ,pero sigo viajando y conociendo y poniendo en practica su gastronomía siempre",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/86dd7023-b492-4924-9d2d-bd3ae7544c96.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/86dd7023-b492-4924-9d2d-bd3ae7544c96.jpg?aki_policy=profile_x_medium,,2,3,"['email', 'phone']",t,t,"Mutriku, Basque Country, Spain",Mutriku,GuipÃºzcoa,43.30743408203125,-2.386609077,Entire loft,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Paid parking on premises"", ""Free parking on premises"", ""Coffee maker"", ""Hair dryer"", ""Washer"", ""Iron"", ""Private entrance"", ""Kitchen"", ""Refrigerator"", ""Free street parking"", ""Fire extinguisher"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Essentials"", ""Host greets you"", ""Microwave"", ""Paid parking off premises"", ""Dishes and silverware"", ""Heating"", ""Patio or balcony"", ""Hot water"", ""Smoke alarm"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Cooking basics""]",$74.00,2,60,2,7,1125,1125,3.0,1125.0,,t,14,44,74,348,29/09/2024,107,24,2,08/07/2012,10/09/2024,4.69,4.73,4.75,4.91,4.9,4.81,4.64,L5500105,t,2,1,1,0,0.72
70,1674721,https://www.airbnb.com/rooms/1674721,20240900000000.0,30/09/2024,city scrape,APARTAMENTO PUESTA DE SOL -ESS00070,"Beautiful apartment recently renovated in an ideal location of  San Sebastian with privileged views. Just a 10-minute walk to the beach and the old part is a very quiet area with easy parking. 2 Beds of 90, 2 of 90, sofa bed140<br />Private garage and wi fi Pets are not allowed in the apartment but we have the amenities of a very good dog/feline hotel and close to home if someone needs to come with their pet","Relaxation, parking, views, nearby, new,",https://a0.muscache.com/pictures/95874371/6c259504_original.jpg,8863617,https://www.airbnb.com/users/show/8863617,Mikel,16/09/2013,"San Sebastián, Spain",,within a few hours,88%,90%,t,https://a0.muscache.com/im/pictures/user/30a5e615-c864-4b87-b6f4-e98f110de13c.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/30a5e615-c864-4b87-b6f4-e98f110de13c.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,"San Sebastian, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.32108,-1.97166,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,2.0,5.0,"[""Paid parking on premises"", ""Free parking on premises"", ""Cleaning products"", ""Dryer"", ""Coffee maker"", ""Outdoor furniture"", ""Hair dryer"", ""Lockbox"", ""Washer"", ""Coffee"", ""Iron"", ""Kitchen"", ""Refrigerator"", ""Dishwasher"", ""Beach access \u2013 Beachfront"", ""Fire extinguisher"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Essentials"", ""Drying rack for clothing"", ""Self check-in"", ""Host greets you"", ""Blender"", ""Microwave"", ""Bay view"", ""Long term stays allowed"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""Private patio or balcony"", ""Room-darkening shades"", ""Bed linens"", ""Oven"", ""Clothing storage: closet"", ""Outdoor dining area"", ""Hot water"", ""Dining table"", ""TV"", ""Cooking basics""]",$229.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,26,54,84,359,30/09/2024,175,30,2,09/07/2015,29/09/2024,4.91,4.94,4.94,4.86,4.88,4.72,4.75,ES00070,f,1,1,0,0,1.56
