,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
55,1339052,https://www.airbnb.com/rooms/1339052,20240900000000.0,30/09/2024,city scrape,4 bedroom flat in SS near beach  [ESS01112],"The photos are not updated, a partial renovation work has recently been carried out. New parquet flooring, new lockable doors in each room, lighting and heating.,","It is a very lively neighborhood, shops and bars with tapas just in front of the house door. 2 miles away from city center.<br />There´s a beautiful beach just 2 minutes walking distance.",https://a0.muscache.com/pictures/a7e89202-0de8-4bf5-93d7-89fce8335c38.jpg,7260628,https://www.airbnb.com/users/show/7260628,Iñigo,03/07/2013,"Donostia-San Sebastián, Spain","I am 42 y/o and living in San Sebastian. Have worked in the UK and Germany for 8 years and currently renting a flat in San Sebastian.

I should be updating this description soon but have not much to say right now ;)",within a day,50%,0%,f,https://a0.muscache.com/im/users/7260628/profile_pic/1372864262/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7260628/profile_pic/1372864262/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone']",t,f,"San Sebastian, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.31303,-2.0023,Entire rental unit,Entire home/apt,8,2.0,2 baths,4.0,4.0,"[""Bidet"", ""Cleaning products"", ""Bathtub"", ""Coffee maker"", ""Hair dryer"", ""Washer"", ""Iron"", ""Kitchen"", ""Refrigerator"", ""Beach access \u2013 Beachfront"", ""Hangers"", ""Ethernet connection"", ""Wifi"", ""Essentials"", ""Drying rack for clothing"", ""Blender"", ""Long term stays allowed"", ""Dishes and silverware"", ""Free dryer"", ""Heating"", ""Bed linens"", ""Clothing storage: closet"", ""Hot water"", ""TV"", ""Cooking basics""]",$144.00,31,60,31,31,60,60,31.0,60.0,,t,10,40,70,345,30/09/2024,18,0,0,09/08/2013,01/08/2022,4.72,4.82,4.39,5.0,5.0,4.76,4.59,ESS01112,f,1,1,0,0,0.13
72,1719326,https://www.airbnb.com/rooms/1719326,20240900000000.0,29/09/2024,city scrape,Casita individual en Getxo Bizkaia,"Individual cottage in rural surroundings but a few minutes from the metro station with all services:<br />equipped kitchen, large living room , 1 double bedroom,<br />1 full bathroom.<br />Garden  in closed plot.<br />Close to the beaches of Arrigunaga and aizkorri.<br />It also has a baby cot.",,https://a0.muscache.com/pictures/6a442006-853f-464c-9e4d-b9edd23404f9.jpg,9064749,https://www.airbnb.com/users/show/9064749,Susana,26/09/2013,"Elexalde, Spain",Soy de Barrika,within a day,100%,100%,f,https://a0.muscache.com/im/users/9064749/profile_pic/1380192017/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9064749/profile_pic/1380192017/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Getxo,Vizcaya,43.36197,-3.00874,Entire guesthouse,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Free parking on premises"", ""Cleaning products"", ""Dedicated workspace"", ""Coffee maker"", ""Hair dryer"", ""Washer"", ""Extra pillows and blankets"", ""Private entrance"", ""Kitchen"", ""Refrigerator"", ""Dishwasher"", ""Waterfront"", ""Beach access \u2013 Beachfront"", ""Hangers"", ""Ethernet connection"", ""Wifi"", ""Essentials"", ""Single level home"", ""Host greets you"", ""Microwave"", ""Backyard"", ""Dishes and silverware"", ""Heating"", ""Stove"", ""Room-darkening shades"", ""Bed linens"", ""Oven"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Cooking basics""]",$80.00,3,1125,3,4,1125,1125,3.0,1125.0,,t,0,0,0,266,29/09/2024,167,4,0,04/11/2013,20/11/2023,4.32,4.61,3.96,4.7,4.59,4.39,4.38,,t,1,1,0,0,1.26
78,1792278,https://www.airbnb.com/rooms/1792278,20240900000000.0,30/09/2024,city scrape,ESTUDIO FRENTE  Al MAR (WI-FI),"Cozy apartment located in front of Zurriola beach, next to Kursal Palace and downtown. Perfect for surf lovers as Zurriola beach is San Sebastian's favorite for this sport.",,https://a0.muscache.com/pictures/d6c965f5-8f10-45f7-8146-a7b7d8df1b21.jpg,9403141,https://www.airbnb.com/users/show/9403141,Manuel,13/10/2013,"Donostia-San Sebastian, Spain","Hola me llamo Manuel y resido en donosti, me gusta disfrutar de mis amigos y de mi familia, también ocupo mi tiempo haciendo deporte, cine teatro etc..",within a day,50%,0%,f,https://a0.muscache.com/im/pictures/user/8699edce-f918-44f4-b845-7e54971f6502.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8699edce-f918-44f4-b845-7e54971f6502.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.32652,-1.97309,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Coffee maker: espresso machine"", ""Smoking allowed"", ""Cleaning products"", ""Dryer"", ""Dedicated workspace"", ""Shared beach access \u2013 Beachfront"", ""Hair dryer"", ""Washer"", ""Coffee"", ""Iron"", ""Mountain view"", ""Kitchen"", ""Body soap"", ""Shampoo"", ""Hangers"", ""Laundromat nearby"", ""Wifi"", ""Essentials"", ""Pocket wifi"", ""Host greets you"", ""Microwave"", ""Bay view"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water kettle"", ""Heating"", ""Shower gel"", ""Bed linens"", ""Sea view"", ""Clothing storage: closet"", ""Beach view"", ""TV with Amazon Prime Video, Netflix"", ""Hot water"", ""Elevator"", ""Mini fridge"", ""Cooking basics""]",$150.00,5,1125,2,2,1125,1125,2.0,1125.0,,t,17,45,75,350,30/09/2024,289,0,0,11/11/2013,29/08/2022,4.67,4.8,4.45,4.85,4.78,4.92,4.62,ESS 01061,f,1,1,0,0,2.18
93,2205726,https://www.airbnb.com/rooms/2205726,20240900000000.0,29/09/2024,city scrape,Lovely Cottage in a natural park.,"Our Lovely rural house is in the middle of the natural park and only for 5 people. It´s perfect to combine intimate moments, relax and contact with the wild, with a cosmopolitan experiences in the closes cities.","Our neighborhood is made up of the wildlife that lives in freedom in the Natural Park and our pets, horses, sheep, geese, ducks, chickens and our three small dogs ""Pako"", ""Teresa"" and ""Karamel"".<br />From the terrace, privileged vantage point, no other construction is not currency.",https://a0.muscache.com/pictures/29789513/6783b13c_original.jpg,11253645,https://www.airbnb.com/users/show/11253645,Olga,13/01/2014,"Basque Country, Spain",,within a day,100%,78%,t,https://a0.muscache.com/im/users/11253645/profile_pic/1389634868/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/11253645/profile_pic/1389634868/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Oiartzun, Basque Country, Spain",Oiartzun,GuipÃºzcoa,43.28781,-1.80159,Entire cottage,Entire home/apt,5,1.0,1 bath,3.0,4.0,"[""Toaster"", ""Private backyard \u2013 Not fully fenced"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Smoking allowed"", ""Cleaning products"", ""Dedicated workspace"", ""Bathtub"", ""Wine glasses"", ""Outdoor furniture"", ""Hair dryer"", ""BBQ grill"", ""Extra pillows and blankets"", ""Iron"", ""Mountain view"", ""Garden view"", ""Kitchen"", ""Freezer"", ""Baking sheet"", ""Free washer \u2013 In unit"", ""First aid kit"", ""Private entrance"", ""Fire pit"", ""Hammock"", ""Books and reading material"", ""Free street parking"", ""Barbecue utensils"", ""Dishwasher"", ""Outlet covers"", ""Crib"", ""Fire extinguisher"", ""Aeg stove"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Essentials"", ""Pocket wifi"", ""Drying rack for clothing"", ""Host greets you"", ""Blender"", ""Microwave"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water kettle"", ""Sanex body soap"", ""Heating"", ""Shower gel"", ""High chair"", ""Sansung refrigerator"", ""Coffee maker: drip coffee maker, french press, pour-over coffee"", ""Room-darkening shades"", ""Bed linens"", ""Philips sound system"", ""Buena oven"", ""Patio or balcony"", ""Board games"", ""Babysitter recommendations"", ""Clothing storage: closet"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Hot water"", ""Baby safety gates"", ""Dining table"", ""Pack \u2019n play/Travel crib"", ""Valley view"", ""Mini fridge"", ""TV"", ""Indoor fireplace: wood-burning"", ""Cooking basics""]",$211.00,2,30,2,4,30,30,2.0,30.0,,t,23,51,81,255,29/09/2024,22,10,1,04/01/2015,01/09/2024,4.95,4.91,4.95,5.0,4.95,4.86,4.73,KSS00165,f,2,2,0,0,0.19
112,2655540,https://www.airbnb.com/rooms/2655540,20240900000000.0,30/09/2024,city scrape,Ondarreta Beach Attic Apartment + Garage,"Ondarreta attic apartment is a luxury daily rental apartment in San Sebastian, just in one of the most luxurious neighborhood in ONDARRETA BEACH.<br /><br />This rental apartment is a nice bright attic on the 6 floor (the last) of a modern building.","It is a very calm neighborhood, with green spaces and relax terraces to have breakfast, lunch or dinner.<br />There is a also a supermarket very close where you can find everything.",https://a0.muscache.com/pictures/553febda-0c8c-4863-a1b8-11ceab57988e.jpg,13482112,https://www.airbnb.com/users/show/13482112,Marta,24/03/2014,"San Sebastián, Spain",I was born in San Sebastián and I love traveling all around de world to learn new cultures!,within a day,50%,33%,t,https://a0.muscache.com/im/pictures/user/b02f1e82-b84a-420b-a0f8-9e4734c76231.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b02f1e82-b84a-420b-a0f8-9e4734c76231.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"San Sebastian, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.31279,-2.00826,Entire rental unit,Entire home/apt,6,2.0,2 baths,3.0,6.0,"[""Toaster"", ""Bidet"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Smoking allowed"", ""Cleaning products"", ""Dedicated workspace"", ""Coffee maker"", ""Wine glasses"", ""Hair dryer"", ""Washer"", ""Extra pillows and blankets"", ""Iron"", ""Coffee"", ""Kitchen"", ""Freezer"", ""First aid kit"", ""Refrigerator"", ""Dishwasher"", ""Waterfront"", ""Body soap"", ""Crib"", ""Fire extinguisher"", ""Shampoo"", ""Hangers"", ""Essentials"", ""Drying rack for clothing"", ""Host greets you"", ""Microwave"", ""Shared beach access"", ""Backyard"", ""Paid street parking off premises"", ""Long term stays allowed"", ""Dishes and silverware"", ""Hot water kettle"", ""Heating"", ""Fast wifi \u2013 301 Mbps"", ""Shower gel"", ""High chair"", ""Outdoor playground"", ""Room-darkening shades"", ""Bed linens"", ""Patio or balcony"", ""Oven"", ""Babysitter recommendations"", ""Clothing storage: closet"", ""Children\u2019s books and toys"", ""Hot water"", ""Cleaning available during stay"", ""Dining table"", ""Elevator"", ""Pack \u2019n play/Travel crib"", ""Children\u2019s dinnerware"", ""TV with standard cable"", ""Cooking basics""]",$375.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,41,30/09/2024,75,0,0,22/04/2014,30/09/2023,4.76,4.7,4.85,4.73,4.84,4.72,4.65,,f,1,1,0,0,0.59
118,2718467,https://www.airbnb.com/rooms/2718467,20240900000000.0,29/09/2024,city scrape,Acogedor piso en Mutriku,"Nice and cozy apartment. Ideal for families with children, groups and couples. <br />Our apartment is next to the marina. Stunning views. 100 m from a small beach, with natural pool and minutes from Saturarrán Beach.",,https://a0.muscache.com/pictures/35481537/e6b06ba1_original.jpg,13911403,https://www.airbnb.com/users/show/13911403,Andoni,05/04/2014,"Eibar, Spain",.,within a day,100%,84%,f,https://a0.muscache.com/im/pictures/user/c0d66b4c-d4be-4c8b-b591-338f84d85041.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c0d66b4c-d4be-4c8b-b591-338f84d85041.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,,Mutriku,GuipÃºzcoa,43.306,-2.38443,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,4.0,"[""Bidet"", ""Cleaning products"", ""Bathtub"", ""Coffee maker"", ""Hair dryer"", ""Extra pillows and blankets"", ""Iron"", ""Kitchen"", ""Freezer"", ""Free washer \u2013 In unit"", ""First aid kit"", ""Refrigerator"", ""Free street parking"", ""Waterfront"", ""Beach access \u2013 Beachfront"", ""Crib"", ""Fire extinguisher"", ""Hangers"", ""Essentials"", ""Drying rack for clothing"", ""Host greets you"", ""Blender"", ""Microwave"", ""Dishes and silverware"", ""Harbor view"", ""Heating"", ""Room-darkening shades"", ""Bed linens"", ""Oven"", ""Hot water"", ""Clothing storage: closet and dresser"", ""Pack \u2019n play/Travel crib"", ""TV"", ""Cooking basics""]",$106.00,2,15,2,2,15,15,2.0,15.0,,t,30,58,88,359,29/09/2024,179,18,1,17/07/2014,31/08/2024,4.53,4.72,4.62,4.67,4.54,4.82,4.53,ESS00507,f,1,1,0,0,1.44
126,2968846,https://www.airbnb.com/rooms/2968846,20240900000000.0,29/09/2024,city scrape,habitación en casa individual con desayuno,"single house with large garden, indoor and outdoor gym appliances in a quiet village a 10 minute drive from downtown with bus service. Ideally located to get to know the Basque Country and surroundings or as an intermediate stop on trips between central Europe and southern Spain or Portugal. Price includes breakfast<br />Gob Vasco LVI1004 Tourist Registry","the house is in a small village belonging to the municipality of vitoria, quiet and crossed by the green road of the Basque Navarre railway and by the road of Santiago., with easy access from the main entrance roads to the city, ideally located to know  the Rioja , Bilbao, San Sebastian and the interior of the Basque country",https://a0.muscache.com/pictures/43306603/1f64a9ef_original.jpg,15147808,https://www.airbnb.com/users/show/15147808,Isabel,05/05/2014,"Vitoria-Gasteiz, Spain",,within a day,100%,50%,t,https://a0.muscache.com/im/users/15147808/profile_pic/1403552225/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/15147808/profile_pic/1403552225/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,"vitoria-Gasteiz, País Vasco, Spain",Vitoria-Gasteiz,Ãlava,42.83888,-2.58556,Private room in home,Private room,2,1.0,1 private bath,1.0,2.0,"[""Free parking on premises"", ""Luggage dropoff allowed"", ""Fireplace guards"", ""Dedicated workspace"", ""Outdoor furniture"", ""Hair dryer"", ""Washer"", ""Extra pillows and blankets"", ""Iron"", ""Mountain view"", ""Garden view"", ""First aid kit"", ""Hammock"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Shampoo"", ""Hangers"", ""Gym"", ""Wifi"", ""Essentials"", ""Host greets you"", ""Backyard"", ""Private pool"", ""Heating"", ""Private patio or balcony"", ""High chair"", ""Room-darkening shades"", ""Bed linens"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Hot water"", ""Breakfast"", ""TV"", ""Indoor fireplace: wood-burning"", ""Game console""]",$55.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,27,299,29/09/2024,133,8,0,07/07/2014,04/06/2024,4.95,4.96,4.98,4.95,4.99,4.8,4.93,LVI 1004,f,3,0,3,0,1.07
127,2968885,https://www.airbnb.com/rooms/2968885,20240900000000.0,29/09/2024,city scrape,4habitaciones en casa individual con desayuno,"Detached house with large garden, swimming pool and indoor and outdoor gym equipment in a quiet village 10 minutes away by car from the city center with bus service.Perfect for an intermediate stop on trips from Europe to southern Spain or Portugal without worries about parking the car or your security Possibility of private transport from nearby airports during your stay.  Room rate includes breakfast<br />Tourist registration LVI1004","The house is in a small village belonging to the municipality of Vitoria , quiet, and crossed by the green road of the Basque Navarre railway and the road to Santiago, with easy access from the main entrance roads to the city, ideally located to  know the Rioja , Bilbao ,San Sebastián and  discover the interior of the Basque country",https://a0.muscache.com/pictures/43077085/cfc518bc_original.jpg,15147808,https://www.airbnb.com/users/show/15147808,Isabel,05/05/2014,"Vitoria-Gasteiz, Spain",,within a day,100%,50%,t,https://a0.muscache.com/im/users/15147808/profile_pic/1403552225/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/15147808/profile_pic/1403552225/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,"Argandoña ,Vitoria, Basque Country, Spain",Vitoria-Gasteiz,Ãlava,42.83923,-2.58426,Private room in home,Private room,2,1.0,1 private bath,1.0,1.0,"[""Toaster"", ""Bidet"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Fireplace guards"", ""Dedicated workspace"", ""Bathtub"", ""Wine glasses"", ""Outdoor furniture"", ""Hair dryer"", ""Washer"", ""Extra pillows and blankets"", ""Iron"", ""Coffee"", ""Mountain view"", ""Garden view"", ""First aid kit"", ""Refrigerator"", ""Hammock"", ""Record player"", ""Books and reading material"", ""Free street parking"", ""Body soap"", ""Fire extinguisher"", ""Exterior security cameras on property"", ""Shampoo"", ""Hangers"", ""Wifi"", ""Essentials"", ""Drying rack for clothing"", ""Private gym in building"", ""Microwave"", ""Pool"", ""Backyard"", ""Dishes and silverware"", ""Private patio or balcony"", ""Shower gel"", ""Clothing storage"", ""High chair"", ""Room-darkening shades"", ""Bed linens"", ""Radiant heating"", ""Board games"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Hot water"", ""Breakfast"", ""Dining table"", ""Exercise equipment: elliptical, free weights, yoga mat"", ""Coffee maker: Nespresso"", ""TV"", ""Indoor fireplace: wood-burning"", ""Private living room"", ""Game console""]",$65.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,27,302,29/09/2024,112,1,0,15/07/2014,15/07/2024,4.88,4.95,4.97,4.92,4.98,4.82,4.93,LVI 1004,f,3,0,3,0,0.9
149,3423003,https://www.airbnb.com/rooms/3423003,20240900000000.0,29/09/2024,city scrape,habitación 3 en casa individual con desayuno,"single house with large garden , swimming pool and indoor and outdoor gym equipment in a quiet village 10 minutes by car from the city center with bus service Ideally located to get to know the Basque Country and surroundings or as an intermediate stop on trips between central Europe and southern Spain or Portugal. Possibility of airport pickup (Bilbao, Vitoria, Santander)  The price of the room includes breakfast<br />Basque Tourism Registration LVI1004","the house is in a small village belonging to the municipality of vitoria, quiet and crossed by the green road of the Basque Navarre  railway and the road to Santiago, with easy access from the main access roads to the city, ideally located to know the Rioja , Bilbao, San Sebastian and discover the interior of the Basque country",https://a0.muscache.com/pictures/43308451/7af89a8b_original.jpg,15147808,https://www.airbnb.com/users/show/15147808,Isabel,05/05/2014,"Vitoria-Gasteiz, Spain",,within a day,100%,50%,t,https://a0.muscache.com/im/users/15147808/profile_pic/1403552225/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/15147808/profile_pic/1403552225/original.jpg?aki_policy=profile_x_medium,,3,3,"['email', 'phone']",t,t,"vitoria-Gasteiz, País Vasco, Spain",Vitoria-Gasteiz,Ãlava,42.8404,-2.58502,Private room in home,Private room,2,1.5,1.5 baths,1.0,1.0,"[""Toaster"", ""Free parking on premises"", ""Luggage dropoff allowed"", ""Fireplace guards"", ""Dedicated workspace"", ""Coffee maker"", ""Wine glasses"", ""Paid washer \u2013 In unit"", ""Outdoor furniture"", ""Hair dryer"", ""Extra pillows and blankets"", ""Coffee"", ""Iron"", ""Garden view"", ""Mountain view"", ""First aid kit"", ""Refrigerator"", ""Hammock"", ""Record player"", ""Books and reading material"", ""Free street parking"", ""Private outdoor pool - available seasonally"", ""Body soap"", ""Fire extinguisher"", ""Shampoo"", ""Hangers"", ""Arcade games"", ""Wifi"", ""Essentials"", ""Drying rack for clothing"", ""Private gym in building"", ""Host greets you"", ""Microwave"", ""Backyard"", ""Sun loungers"", ""Dishes and silverware"", ""Shower gel"", ""High chair"", ""Room-darkening shades"", ""Bed linens"", ""Radiant heating"", ""Patio or balcony"", ""Board games"", ""Children\u2019s books and toys"", ""Outdoor dining area"", ""Hot water"", ""Breakfast"", ""HDTV"", ""Dining table"", ""Exercise equipment: elliptical, free weights, yoga mat"", ""Indoor fireplace: wood-burning"", ""Private living room"", ""Game console""]",$55.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,27,302,29/09/2024,66,2,0,15/07/2015,15/07/2024,4.94,4.95,4.95,4.98,5.0,4.88,4.95,LVi 1004,f,3,0,3,0,0.59
157,3675625,https://www.airbnb.com/rooms/3675625,20240900000000.0,30/09/2024,city scrape,"70m2, new, downtown, furnished, gar","Flat 70m2, new, 2 bedrooms, bathroom, full kitchen . Garage. Wifi. Centric, 15 min walk to all attractions, beach, Old  Part, .. next to donostias bigger park, supermarket, sports center and bus connections","New neighborhood, central, clean, safe,",https://a0.muscache.com/pictures/a9dfaa80-a8e5-4711-b1b8-471bcea43131.jpg,6702322,https://www.airbnb.com/users/show/6702322,Mikel,02/06/2013,"San Sebastián, Spain",Mikel. 49 años. ,within a day,100%,0%,f,https://a0.muscache.com/im/users/6702322/profile_pic/1406057336/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6702322/profile_pic/1406057336/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"San Sebastián, Basque Country, Spain",Donostia-San SebastiÃ¡n,GuipÃºzcoa,43.31242,-1.97232,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Free parking on premises"", ""Luggage dropoff allowed"", ""Smoking allowed"", ""Cleaning products"", ""Dedicated workspace"", ""Bathtub"", ""Hair dryer"", ""Washer"", ""Extra pillows and blankets"", ""Iron"", ""Kitchen"", ""Freezer"", ""Pets allowed"", ""First aid kit"", ""Refrigerator"", ""Books and reading material"", ""Dishwasher"", ""Waterfront"", ""Body soap"", ""Fire extinguisher"", ""Shampoo"", ""Hangers"", ""Gym"", ""Laundromat nearby"", ""Wifi"", ""Essentials"", ""Drying rack for clothing"", ""Portable fans"", ""Dishes and silverware"", ""Hot water kettle"", ""Exercise equipment"", ""Heating"", ""Sound system"", ""Shower gel"", ""Clothing storage"", ""Room-darkening shades"", ""Bed linens"", ""Oven"", ""Hot water"", ""Breakfast"", ""Elevator"", ""TV"", ""Cooking basics""]",$245.00,3,15,3,3,15,15,3.0,15.0,,t,28,58,88,363,30/09/2024,21,0,0,08/08/2014,11/06/2023,4.43,4.63,4.75,4.76,5.0,4.38,4.43,,f,1,1,0,0,0.17
